rank,id,title,chinese_label,authors,year,venue,doi,questions,relevance,limitations,pages,sha256,source_url,final_url,pdf,language
11,en18,Smallest enclosing disks (balls and ellipsoids),最小包围圆及球椭球的随机算法,Emo Welzl,1991,"New Results and New Trends in Computer Science, LNCS 555:359–370",10.1007/BFb0038202,问题1,最小包围圆经典随机算法，可作为判定定位多边形能否被给定直径圆覆盖的计算几何基础。,这是几何算法基础论文，不研究测向或机器人；PDF文字编码异常但显示正常，已渲染核实首页。,12,54cc7859ff186e9067a300cc5fb7a9667fb4f976dbeea53bd043d1bd7610cdab,http://www.inf.ethz.ch/personal/emo/PublFiles/SmallEnclDisk_LNCS555_91.pdf,https://people.inf.ethz.ch/emo/PublFiles/SmallEnclDisk_LNCS555_91.pdf,论文全文/11_最小包围圆及球椭球的随机算法.pdf,英文
12,zh19,面向未知定向辐射源组合定位的无人机群优化部署,面向未知定向辐射源组合定位的无人机群优化部署,赵倩倩; 熊刚; 王李军; 尤明懿,2025,"信号处理, 41(4):668–682",10.12466/xhcl.2025.04.008,问题4,确实考虑目标发射天线方向性、增益与位置不确定性，并采用min-max部署优化；可借鉴将发射方向纳入未知状态的建模方式。,使用多无人机、TDOA+AOA和连续天线增益模型；不是单机器人、半圆内常强度、半圆外零信号的模型。,15,31992619d5251c8bcbbd9ade565b21e79aabc9f7740540fdeb4e674fd5d6830f,https://signal.ejournal.org.cn/cn/article/pdf/preview/10.12466/xhcl.2025.04.008.pdf,https://signal.ejournal.org.cn/cn/article/pdf/preview/10.12466/xhcl.2025.04.008.pdf,论文全文/12_面向未知定向辐射源组合定位的无人机群优化部署.pdf,中文
13,en14,Optimal Sensor Placement for Target Localization and Tracking in 2D and 3D,二维三维目标定位跟踪的最优传感器布置,Shiyu Zhao; Ben M. Chen; Tong H. Lee,2012预印本；2013期刊DOI,arXiv:1210.7397；International Journal of Control,10.1080/00207179.2013.792606,问题1、2,用统一框架研究测角、测距和RSS传感器的最优几何分布，给出最优布置条件及梯度构造思路。,本题只需其中二维纯测角部分；静态布置的最优性不直接等于顺序观测的最短时间。,25,e9f39b9aeee97ab76544a56ad336940ac3b291d44cb46fae98b04bb207b4ede6,https://arxiv.org/pdf/1210.7397,https://arxiv.org/pdf/1210.7397,论文全文/13_二维三维目标定位跟踪的最优传感器布置.pdf,英文
14,en08,Localization of Unknown Networked Radio Sources Using a Mobile Robot with a Directional Antenna,定向接收天线下单机器人定位未知网络无线电源,Dezhen Song; Jingang Yi; Zane Goodwin,2007,American Control Conference:5952–5957,10.1109/ACC.2007.4282785,问题3、4,考虑源总数未知和单机器人搜索，采用粒子滤波及接收天线模型；有助于理解发现与定位的耦合。,定向性主要来自接收天线，还使用CSMA网络碰撞模型；本题第四问的定向性在发射端，且频道已区分源。,6,36c01aad0c1dca89b01c06236c3c0c56d022a13338ec8d92511c5733d2ae543d,https://networked-robots.online/pdfs/ACC07_final.pdf,https://networked-robots.online/pdfs/ACC07_final.pdf,论文全文/14_定向接收天线下单机器人定位未知网络无线电源.pdf,英文
15,en11,On the Time to Search for an Intermittent Signal Source Under a Limited Sensing Range,有限感知范围下间歇信号源的搜索时间,Dezhen Song; Chang-Young Kim; Jingang Yi,2011,"IEEE Transactions on Robotics, 27(2):313–323",10.1109/TRO.2010.2099391,问题3、4,研究有限接收范围对搜索耗时的影响，比较系统扫描与随机运动；适合用来设计发现阶段基准策略。,发现一次信号即完成其搜索任务；本题还要求精确定位并清除全部目标。间歇发射与方向性失联也不能混为一谈。,11,baa5105bdc4a29751f48dea44852f3806fa0bcc32fcaafc2648e6fef404947cd,https://coewww.rutgers.edu/~jgyi/pdfs/IEEETRO_2011.pdf,https://coewww.rutgers.edu/~jgyi/pdfs/IEEETRO_2011.pdf,论文全文/15_有限感知范围下间歇信号源的搜索时间.pdf,英文
16,zh04,无人机无线电监测混合定位算法,无人机无线电监测混合定位算法,郭永宁; 李燕龙,2021,"桂林电子科技大学学报, 41(5):362–367",10.16725/j.cnki.cn45-1351/tn.2021.05.004,问题1、2、3,场景是单无人机在不同位置测量无线电源并交叉定位，背景贴近本题，可读测向交叉定位的建模部分。,混合算法依赖RSSI测距及滤波修正，而B题不返回信号强度；只能借鉴纯测向部分。,6,9a1cc2b77255f38a847fa3f9796f9b5410532a9039b2099313f89aa44c4572c2,https://xb.guet.edu.cn/cn/article/pdf/preview/5f435c2a-3002-46ab-8ede-a36c6e49a082.pdf,https://xb.guet.edu.cn/cn/article/pdf/preview/5f435c2a-3002-46ab-8ede-a36c6e49a082.pdf,论文全文/16_无人机无线电监测混合定位算法.pdf,中文
17,zh16,纯方位角目标跟踪及移动平台可观性控制方法,纯方位角目标跟踪及移动平台可观性控制方法,伍明; 李广宇; 魏振华; 汪洪桥,2022,"智能系统学报, 17(5):919–930",10.11992/tis.202107066,问题2、3,将纯方位状态估计与移动平台可观性控制结合，可参考观测质量对运动方向选择的作用。,基于单目视觉与EKF，含目标跟踪和机器人定位问题；本题机器人自身位置已知且目标静止。,13,ea294ae1f3494479e77031c717b2975e22c87122c65be8824516ef695a4d0501,https://tis.hrbeu.edu.cn/oa/pdfdow.aspx?Sid=202107066,https://tis.hrbeu.edu.cn/oa/pdfdow.aspx?Sid=202107066,论文全文/17_纯方位角目标跟踪及移动平台可观性控制方法.pdf,中文
18,zh06,非合作目标测角定位下的布站优化方法与仿真,非合作目标测角定位下的布站优化方法与仿真,宁以达; 王炯琦; 魏居辉; 白臻祖; 何章鸣,2025,"系统仿真学报, 37(9):2287–2300",10.16182/j.issn1004731x.joss.24-0474,问题2,讨论目标真实位置难获取时如何构造可用的布站评价指标，可帮助审视需要真实目标位置的优化准则。,包含弹道数据、历史合作目标和多因素权重学习，远超B题信息条件；主要借鉴指标设计思想。,14,a5b2bc7239bd374a6f5f1dc5eebf64f34a942cdd943b52dd166ee9732f7c67ea,https://www.china-simulation.com/EN/article/downloadArticleFile.do?attachType=PDF&id=3745,https://www.china-simulation.com/EN/article/downloadArticleFile.do?attachType=PDF&id=3745,论文全文/18_非合作目标测角定位下的布站优化方法与仿真.pdf,中文
19,en07,RF Source-Seeking by a Micro Aerial Vehicle using Rotation-Based Angle of Arrival Estimates,用旋转测角驱动微型飞行器趋近射频源,Sriram Venkateswaran; Jason T. Isaacs; Kingsley Fregene; Richard Ratmansky; Brian M. Sadler; João P. Hespanha; Upamanyu Madhow,2013,American Control Conference,,问题2、3,研究沿带噪方向观测不断趋近RF源的简单反馈策略及收敛，可参考定位后接近目标的基准行为。,假设平台缺少自身位置知识，并从旋转天线获得方向；其连续趋近机制需适配题目的离散测量收费。,7,f2dc4c7c4c574bee2ecfb7a6643d813c68daff4c9955b8ced1818769ac934a0b,https://web.ece.ucsb.edu/~hespanha/published/mavACC13.pdf,https://web.ece.ucsb.edu/~hespanha/published/mavACC13.pdf,论文全文/19_用旋转测角驱动微型飞行器趋近射频源.pdf,英文
20,en05,Decentralized Searching of Multiple Unknown and Transient Radio Sources with Paired Robots,成对机器人分散搜索多个未知瞬态无线电源,Chang-Young Kim; Dezhen Song; Jingang Yi; Xinyu Wu,2015,"Engineering, 1(1):58–65",10.15302/J-ENG-2015010,问题3、4,涉及未知多个源、有限感知范围和分散搜索，适合补充概率搜索、发现阈值与覆盖的背景。,多机器人配对并利用信号强度信息；不能直接用于本题单机器人测角接口。与2014年协作搜索论文属于同一研究脉络。,8,76397edb8ede21b7b6fd72948b03372c0fbb29a3994bd990df42f880545d7d39,https://www.engineering.org.cn/engi/EN/PDF/10.15302/J-ENG-2015010,"https://jf2.hep.com.cn/dbf867443ec34b8bb970f2541b0728ef.pdf?response-content-disposition=attachment;%20filename=""%E4%BD%BF%E7%94%A8%E6%88%90%E5%AF%B9%E6%9C%BA%E5%99%A8%E4%BA%BA%E5%88%86%E6%95%A3%E5%8C%96%E6%90%9C%E7%B4%A2%E5%A4%9A%E4%B8%AA%E6%9C%AA%E7%9F%A5%E7%9E%AC%E6%97%B6%E5%B0%84%E7%94%B5%E6%BA%90.pdf""",论文全文/20_成对机器人分散搜索多个未知瞬态无线电源.pdf,英文
21,en12,Cooperative Search of Multiple Unknown Transient Radio Sources Using Multiple Paired Mobile Robots,多个成对机器人协作搜索未知瞬态无线电源,Chang-Young Kim; Dezhen Song; Yiliang Xu; Jingang Yi; Xinyu Wu,2014,"IEEE Transactions on Robotics, 30(5):1161–1173",10.1109/TRO.2014.2333097,问题3、4,提供未知源数、有限感知范围和概率搜索较完整的系统与实验参考。,使用双机器人信号强度比和协作控制，迁移成本较高；与2015年论文可择一先读，避免重复投入。,13,282441340fb4c6814821043b97741f7d6ba63985101b639b41a2d7170ec44a84,https://coewww.rutgers.edu/~jgyi/pdfs/IEEE_TRO_2014.pdf,https://coewww.rutgers.edu/~jgyi/pdfs/IEEE_TRO_2014.pdf,论文全文/21_多个成对机器人协作搜索未知瞬态无线电源.pdf,英文
22,en15,Improving D-Optimal Sensor Placement for Bearing-Only Localization via Maximum-Entropy Reweighting,最大熵重加权改善纯方位传感器D最优布置,Raktim Bhattacharya,2026,arXiv:2605.11116，预印本,,问题2、3,讨论目标位置分布不确定时如何重加权粒子并选择观测位置，可作为概率式主动定位的补充路线。,本次核实的是预印本，未确认同行评审发表；需要先验分布与测量模型，也不直接优化本题全流程耗时。,8,6c7fb8873af86c8d05263c2b8a8ab4aef95e25e39346a9b873c8ccd7a69f3a7a,https://arxiv.org/pdf/2605.11116,https://arxiv.org/pdf/2605.11116,论文全文/22_最大熵重加权改善纯方位传感器D最优布置.pdf,英文
23,zh07,测控装备干扰源快速侦测系统设计研究,测控装备干扰源快速侦测系统设计研究,顾保国; 陈华中; 许文彤; 吴迪; 郭彦斐,2018,"计算机科学与应用, 8(10):1565–1572",10.12677/csa.2018.810171,背景,提供无人机搭载无线电探测设备寻找干扰源的工程背景，适合了解实际流程及论文背景表述。,主要是系统设计，对有界误差几何和最短时间策略的直接帮助较小，放在背景补充层。,8,51877d2633660ad3d98bad4911c62aef5c06a51a2601d6c60f35b4fee9ac06cf,https://pdf.hanspub.org/csa20181000000_55843731.pdf,https://pdf.hanspub.org/csa20181000000_55843731.pdf,论文全文/23_测控装备干扰源快速侦测系统设计研究.pdf,中文
24,zh13,无线电监测中多站测向交叉定位精度研究,无线电监测中多站测向交叉定位精度研究,邢仁超,2024,"工程管理, 5(8):113–115",10.12238/jpm.v5i8.7087,背景,概述无线电监测中布站、传播环境与测向精度因素，篇幅较短，可用于术语和应用背景入门。,技术推导与可复现实验信息较少，不宜作为核心算法或最优性结论的依据。,3,c73c8a5fdde9f95eea6cd5b901d7b29232155b6cef307a8ee2485a07b36eeb07,https://jpm.front-sci.com/index.php/jpm/article/download/7087/6925,https://jpm.front-sci.com/index.php/jpm/article/download/7087/6925,论文全文/24_无线电监测中多站测向交叉定位精度研究.pdf,中文
